both leadERatio>0.30, ratio=0.9971
both leadERatio>0.31, ratio=0.9951
both leadERatio>0.32, ratio=0.9922
both leadERatio>0.33, ratio=0.9888
both leadERatio>0.34, ratio=0.9844
both leadERatio>0.35, ratio=0.9795
both leadERatio>0.36, ratio=0.9737
both leadERatio>0.37, ratio=0.9668
both leadERatio>0.38, ratio=0.9592
both leadERatio>0.39, ratio=0.9505
both leadERatio>0.40, ratio=0.9407
both leadERatio>0.41, ratio=0.9287
both leadERatio>0.42, ratio=0.9155
both leadERatio>0.43, ratio=0.8987
both leadERatio>0.44, ratio=0.8793
